Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,heptageniidae,substrate_metric_total,0.429,0.5019,-0.399,0.4408,1.213,1.0053,1387
Occupancy,leptophlebiidae,substrate_metric_total,0.1706,0.5058,-0.639,0.1618,1.0073,1.008,888
Occupancy,chloroperlidae,substrate_metric_total,0.6044,0.4994,-0.2046,0.6135,1.4251,1.0047,1236
Occupancy,leuctridae,substrate_metric_total,0.653,0.3336,0.1829,0.6187,1.2494,1.0124,1500
Occupancy,nemouridae,substrate_metric_total,0.4182,0.5019,-0.4356,0.4354,1.2041,1.0013,808
Occupancy,perlidae,substrate_metric_total,0.1933,0.5788,-0.7815,0.1978,1.111,1.0107,644
Occupancy,perlodidae,substrate_metric_total,0.5177,0.4981,-0.2722,0.5177,1.3345,1.004,1359
Occupancy,glossosomatidae,substrate_metric_total,0.5805,0.502,-0.2237,0.5604,1.4482,1.008,1881
Occupancy,hydropsychidae,substrate_metric_total,0.3265,0.3998,-0.3109,0.3181,0.9714,1.0026,1345
Occupancy,hydroptilidae,substrate_metric_total,0.8055,0.4325,0.1849,0.7688,1.5551,1.0056,1187
Occupancy,lepidostomatidae,substrate_metric_total,0.3052,0.3242,-0.2181,0.2997,0.8398,1.0025,2317
Occupancy,limnephilidae,substrate_metric_total,0.039,0.4108,-0.6639,0.0565,0.6673,1.001,1354
Occupancy,molannidae,substrate_metric_total,0.502,0.5149,-0.3561,0.5144,1.3103,1.001,1203
Occupancy,odontoceridae,substrate_metric_total,0.3843,0.503,-0.4487,0.3752,1.1568,1.0013,1036
Occupancy,philopotamidae,substrate_metric_total,0.8651,0.3927,0.2883,0.8404,1.5518,1.0055,1500
Occupancy,phryganeidae,substrate_metric_total,0.4753,0.4847,-0.3379,0.4874,1.2503,1.0042,1385
Occupancy,polycentropodidae,substrate_metric_total,0.7015,0.4882,-0.0158,0.6555,1.5726,1.0165,1182
Occupancy,rhyacophilidae,substrate_metric_total,0.735,0.4268,0.0877,0.7078,1.4663,1.0253,1500
Occupancy,uenoidae,substrate_metric_total,0.7574,0.4211,0.118,0.7407,1.4927,1.0051,1360
Occupancy,other_flies,pool_metric_total,0.3792,0.2884,-0.0479,0.3555,0.8857,1.0001,1500
Occupancy,central_stoneroller_minnow,pool_metric_total,0.0603,0.3267,-0.466,0.0659,0.5956,1.0019,1289
Occupancy,johnny_darter,pool_metric_total,0.065,0.3073,-0.4573,0.0738,0.5543,1.0011,1500
